"version_full";"description";"date (yyyy-mm-dd)"
"7.0.1097";"A Complex UPDATE Statement That Uses an Index Spool Operation May Cause an Assertion";"2005-10-25"
"7.0.1143";"New Connection Events Are Not Recorded in SQL Server Traces";"2005-10-25"
"7.0.1149";"FIX: An access violation exception may occur when you run a SELECT statement that contains complex JOIN operations in SQL Server 7.0";"2006-06-01"
"7.0.1152";"MS08-040: Description of the security update for SQL Server 7.0: July 8, 2008";"2012-05-09"
"8.0.047";"SQL Server 2000 EAP4";""
"8.0.078";"SQL Server 2000 EAP5";""
"8.0.100";"SQL Server 2000 Beta 2";""
"8.0.190";"SQL Server 2000 Gold";""
"8.0.194";"SQL Server 2000 RTM (no SP)";"2000-11-30"
"8.0.204";"FIX: Optimizer Slow to Generate Query Plan for Complex Queries that have Many Joins and Semi-Joins";"2003-10-09"
"8.0.205";"FIX: Sending Open Files as Attachment in SQL Mail Fails with Error 18025";"2005-10-07"
"8.0.210";"FIX: Linked Server Query with Hyphen in LIKE Clause May Run Slowly";"2003-10-09"
"8.0.211";"FIX: Complex Distinct or Group By Query Can Return Unexpected Results with Parallel Execution Plan";"2003-11-05"
"8.0.217";"FIX: CASE Using LIKE with Empty String Can Result in Access Violation or Abnormal Server Shutdown";"2003-10-09"
"8.0.218";"FIX: Scripting Object with Several Extended Properties May Cause Exception";"2003-10-09"
"8.0.222";"FIX: Exception Access Violation Encountered During Query Normalization";"2005-10-07"
"8.0.223";"FIX: Buffer Overflow Exploit Possible with Extended Stored Procedures";"2004-06-29"
"8.0.225";"Access Denied Error Message When You Try to Use a Network Drive to Modify Windows 2000 Permissions";"2006-10-30"
"8.0.226";"FIX: Extreme Memory Usage When Adding Many Security Roles";"2006-11-21"
"8.0.231";"FIX: Execution of sp_OACreate on COM Object Without Type Information Causes Server Shut Down";"2003-10-09"
"8.0.233";"FIX: Opening the Database Folder in SQL Server Enterprise Manager 2000 Takes a Long Time";"2003-10-09"
"8.0.239";"FIX: Complex ANSI Join Query with Distributed Queries May Cause Handled Access Violation";"2003-10-09"
"8.0.249";"FIX: Lock Monitor Uses Excessive CPU";"2003-09-12"
"8.0.250";"The Knowledge Base (KB) Article You Requested Is Currently Not Available";""
"8.0.251";"FIX: Error 644 Using Two Indexes on a Column with Uppercase Preference Sort Order";"2003-10-17"
"8.0.287";"FIX: Deletes, Updates and Rank Based Selects May Cause Deadlock of MSSEARCH";"2005-10-07"
"8.0.296";"FIX: Query Method Used to Access Data May Allow Rights that the Login Might Not Normally Have";"2004-08-09"
"8.0.384";"SQL Server 2000 Service Pack 1 (SP1)";"2001-06-11"
"8.0.428";"FIX: SQL Server Text Formatting Functions Contain Unchecked Buffers";"2004-08-05"
"8.0.443";"FIX: SQLTrace Start and Stop is Now Reported in Windows NT Event Log for SQL Server 2000";"2005-09-26"
"8.0.444";"FIX: SQLPutData May Result in Leak of Buffer Pool Memory";"2005-09-26"
"8.0.452";"FIX: SELECT DISTINCT from Table with LEFT JOIN of View Causes Error Messages or Client Application May Stop Responding";"2005-09-26"
"8.0.469";"FIX: SELECT from Computed Column That References UDF Causes SQL Server to Terminate";"2005-09-26"
"8.0.471";"FIX: Shared Table Lock Is Not Released After Lock Escalation";"2005-09-26"
"8.0.473";"FIX: Query That Uses DESC Index May Result in Access Violation";"2005-09-26"
"8.0.474";"FIX: COM May Not Be Uninitialized for Worker Thread When You Use sp_OA";"2005-09-27"
"8.0.475";"2000 SP1+1/29 fix";""
"8.0.532";"SQL Server 2000 Service Pack 2 (SP2)";"2003-02-04"
"8.0.534";"2000 SP2.01";""
"8.0.552";"The Knowledge Base (KB) Article You Requested Is Currently Not Available";""
"8.0.558";"FIX: Query That Uses DESC Index May Result in Access Violation";"2005-09-26"
"8.0.561";"2000 SP2+1/29 fix";""
"8.0.568";"317748 FIX: Handle Leak Occurs in SQL Server When Service or Application Repeatedly Connects and Disconnects with Shared Memory Network Library";"2002-10-30"
"8.0.578";"FIX: Unchecked Buffer May Occur When You Connect to Remote Data Source";"2005-09-27"
"8.0.584";"FIX: Reorder outer joins with filter criteria before non-selective joins and outer joins";"2008-02-04"
"8.0.594";"FIX: Extremely Large Number of User Tables on AWE System May Cause BPool::Map Errors";"2005-09-27"
"8.0.599";"FIX: Improved SQL Manager Robustness for Odd Length Buffer";"2005-09-27"
"8.0.604";"2000 SP2+3/29 fix";""
"8.0.608";"FIX: SQL Extended Procedure Functions Contain Unchecked Buffers";"2004-06-21"
"8.0.636";"Microsoft Security Bulletin MS02-039";"2002-06-24"
"8.0.644";"FIX: Slow Compile Time and Execution Time with Query That Contains Aggregates and Subqueries";"2005-09-27"
"8.0.650";"FIX: SQL Server Grants Unnecessary Permissions or an Encryption Function Contains Unchecked Buffers";"2003-11-05"
"8.0.652";"FIX: The fn_get_sql System Table Function May Cause Various Handled Access Violations";"2005-09-27"
"8.0.655";"2000 SP2+7/24 fix";""
"8.0.661";"FIX: Lock escalation on a scan while an update query is running causes a 1203 error message to occur";"2005-09-27"
"8.0.665";"2000 SP2+8/8 fix";""
"8.0.667";"2000 SP2+8/14 fix";""
"8.0.678";"FIX: A RESTORE DATABASE WITH RECOVERY Statement Can Fail with Error 9003 or Error 9004";"2005-09-27"
"8.0.679";"SQL Server 2000 Security Update for Service Pack 2";"2006-11-24"
"8.0.682";"FIX: Assertion and Error Message 3314 Occurs If You Try to Roll Back a Text Operation with READ UNCOMMITTED";"2005-10-18"
"8.0.686";"SQL Server 2000 Security Update for Service Pack 2";"2006-11-24"
"8.0.688";"FIX: Transaction Log Restore Fails with Message 3456";"2005-10-11"
"8.0.689";"FIX: Replication Removed from Database After Restore WITH RECOVERY";"2005-10-11"
"8.0.690";"FIX: The SELECT Statement with Parallelism Enabled May Cause an Assertion";"2005-10-12"
"8.0.693";"FIX: Parallel logical operation returns results that are not consistent";"2005-09-27"
"8.0.695";"FIX: Update/Delete Statement Fails with Error 1203 During Page Lock Escalation";"2005-09-27"
"8.0.696";"FIX: A Memory Leak Occurs When Cursors Are Opened During a Connection";"2005-09-27"
"8.0.700";"FIX: Merge Replication Reconciler Stack Overflow";"2005-09-27"
"8.0.701";"FIX: A DELETE Statement with a Self-Join May Fail and You Receive a 625 Error";"2005-09-27"
"8.0.702";"FIX: Concurrency enhancements for the tempdb database";"2006-07-19"
"8.0.703";"FIX: Cursors That Have a Long Lifetime May Cause Memory Fragmentation";"2005-09-27"
"8.0.705";"FIX: The JOIN queries in the triggers that involve the inserted table or the deleted table may return results that are not consistent";"2005-09-27"
"8.0.710";"FIX: Latch Time-Out Message 845 Occurs When You Perform a Database or File SHRINK Operation";"2005-09-27"
"8.0.713";"FIX: An error message occurs when you perform a database or a file SHRINK operation";"2005-09-27"
"8.0.714";"FIX: Restoring a SQL Server 7.0 database backup in SQL Server 2000 Service Pack 2 (SP2) may cause an assertion error in the Xdes.cpp file";"2005-10-18"
"8.0.715";"FIX: Merge Agent Can Resend Changes for Filtered Publications";"2005-09-27"
"8.0.718";"FIX: Unexpected results from partial aggregations based on conversions";"2005-09-27"
"8.0.721";"FIX: Indexed View May Cause a Handled Access Violation in CIndex::SetLevel1Names";"2005-09-27"
"8.0.723";"FIX: A UNION ALL View May Not Use Index If Partitions Are Removed at Compile Time";"2005-09-27"
"8.0.725";"FIX: A Query with an Aggregate Function May Fail with a 3628 Error";"2005-09-27"
"8.0.728";"FIX: Merge Replication with Alternate Synchronization Partners May Not Succeed After You Change the Retention Period";"2005-09-27"
"8.0.730";"FIX: You May Experience Slow Performance When You Debug a SQL Server Service";"2005-09-27"
"8.0.733";"FIX: A Large Number of NULL Values in Join Columns Result in Slow Query Performance";"2005-09-27"
"8.0.735";"FIX: A DELETE statement with a JOIN might fail and you receive a 625 error";"2005-09-27"
"8.0.736";"FIX: A memory leak may occur when you use the sp_OAMethod stored procedure to call a method of a COM object";"2005-09-27"
"8.0.741";"FIX: Many Extent Lock Time-outs May Occur During Extent Allocation";"2005-02-10"
"8.0.743";"FIX: A Transact-SQL query that uses views may fail unexpectedly in SQL Server 2000 SP2";"2005-10-18"
"8.0.760";"SQL Server 2000 Service Pack 3 (SP3 / SP3a)";"2003-08-27"
"8.0.762";"FIX: Merge publications cannot synchronize on SQL Server 2000 Service Pack 3";"2005-09-27"
"8.0.763";"FIX: DTS Designer may generate an access violation after you install SQL Server 2000 Service Pack 3";"2005-09-27"
"8.0.765";"FIX: An Access Violation Occurs if an sp_cursoropen Call References a Parameter That Is Not Defined";"2005-09-27"
"8.0.769";"FIX: A DELETE statement with a JOIN might fail and you receive a 625 error";"2005-09-27"
"8.0.775";"FIX: A DTS package that uses global variables ignores an error message raised by RAISERROR";"2005-09-27"
"8.0.776";"Unidentified";""
"8.0.779";"FIX: A Full-Text Population Fails After You Apply SQL Server 2000 Service Pack 3";"2005-09-27"
"8.0.780";"FIX: Code Point Comparison Semantics for SQL_Latin1_General_Cp850_BIN Collation";"2005-09-27"
"8.0.781";"FIX: SQL Server 2000 Uninstall Option Does Not Remove All Files";"2005-09-27"
"8.0.788";"FIX: You cannot install SQL Server 2000 SP3 on the Korean version of SQL Server 2000";"2005-09-27"
"8.0.789";"FIX: Error 17883 May Display Message Text That Is Not Correct";"2005-09-27"
"8.0.790";"FIX: You receive an error message when you use the SQL-DMO BulkCopy object to import data into a SQL Server table";"2005-09-27"
"8.0.791";"FIX: Performance of a query that is run from a client program on a SQL Server SP3 database is slow after you restart the instance of SQL Server";"2005-09-27"
"8.0.794";"FIX: Using Sp_executesql in Merge Agent Operations";"2005-09-27"
"8.0.798";"FIX: Using Sp_executesql in Merge Agent Operations";"2005-09-27"
"8.0.800";"FIX: The Sqldumper.exe File Does Not Generate a Userdump File When It Runs Against a Windows Service";"2005-09-27"
"8.0.801";"FIX: SQL Server Enterprise Manager unexpectedly quits when you modify a DTS package";"2006-01-26"
"8.0.804";"FIX: Internal Query Processor Error 8623 When Microsoft SQL Server Tries to Compile a Plan for a Complex Query";"2005-10-25"
"8.0.807";"FIX: Error Message 3628 May Occur When You Run a Complex Query";"2005-10-25"
"8.0.811";"FIX: An access violation exception may occur when you insert a row in a table that is referenced by indexed views in SQL Server 2000";"2006-04-03"
"8.0.814";"FIX: Distribution Cleanup Agent Incorrectly Cleans Up Entries for Anonymous Subscribers";"2005-10-25"
"8.0.816";"FIX: Intense SQL Server activity results in spinloop wait";"2005-10-25"
"8.0.818";"MS03-031: Security patch for SQL Server 2000 Service Pack 3";"2006-01-09"
"8.0.819";"FIX: You are prompted for password confirmation after you change a standard SQL Server login";"2005-10-25"
"8.0.837";"FIX: Delayed domain authentication may cause SQL Server to stop responding";"2005-10-25"
"8.0.839";"FIX: An Access Violation May Occur When You Run a Query That Contains 32,000 or More OR Clauses";"2005-10-25"
"8.0.840";"FIX: Extremely Large Number of User Tables on AWE System May Cause BPool::Map Errors";"2005-09-27"
"8.0.841";"FIX: You receive an error message when you run a parallel query that uses an aggregation function or the GROUP BY clause";"2005-10-25"
"8.0.842";"FIX: Rows are unexpectedly deleted when you run a distributed query to delete or to update a linked server table";"2005-10-25"
"8.0.844";"FIX: SQL Server 2000 protocol encryption applies to JDBC clients";"2006-10-17"
"8.0.845";"FIX: A Query with a LIKE Comparison Results in a Non-Optimal Query Plan When You Use a Hungarian SQL Server Collation";"2005-10-05"
"8.0.847";"PRB: Additional SQL Server Diagnostics Added to Detect Unreported I/O Problems";"2005-10-25"
"8.0.848";"FIX: A Member of the db_accessadmin Fixed Database Role Can Create an Alias for the dbo Special User";"2005-10-25"
"8.0.850";"FIX: Linked Server Query May Return NULL If It Is Performed Through a Keyset Cursor";"2005-10-25"
"8.0.851";"FIX: A Deadlock Occurs If You Run an Explicit UPDATE STATISTICS Command";"2005-10-25"
"8.0.852";"FIX: You may receive an ""Internal SQL Server error"" error message when you run a Transact-SQL SELECT statement on a view that has many subqueries in SQL Server 2000";"2005-04-01"
"8.0.854";"FIX: An Access Violation Occurs When You Run DBCC UPDATEUSAGE on a Database That Has Many Objects";"2005-10-25"
"8.0.856";"FIX: Key Locks Are Held Until the End of the Statement for Rows That Do Not Pass Filter Criteria";"2005-10-25"
"8.0.857";"The Knowledge Base (KB) Article You Requested Is Currently Not Available";""
"8.0.858";"FIX: Users Can Control the Compensating Change Process in Merge Replication";"2005-10-25"
"8.0.859";"FIX: Issues that are resolved in SQL Server 2000 build 8.00.0859";"2005-03-31"
"8.0.863";"FIX: Query performance may be slow and may be inconsistent when you run a query while another query that contains an IN operator with many values is compiled";"2005-10-25"
"8.0.865";"FIX: An access violation occurs during compilation if the table contains statistics for a computed column";"2005-10-25"
"8.0.866";"FIX: An access violation occurs in SQL Server 2000 when a high volume of local shared memory connections occur after you install security update MS03-031";"2006-01-16"
"8.0.869";"FIX: Access violation when you trace keyset-driven cursors by using SQL Profiler";"2005-10-25"
"8.0.870";"FIX: Unconditional Update May Not Hold Key Locks on New Key Values";"2005-10-25"
"8.0.871";"FIX: SQL Query Analyzer may stop responding when you close a query window or open a file";"2005-10-25"
"8.0.873";"FIX: Some queries that have a left outer join and an IS NULL filter run slower after you install SQL Server 2000 post-SP3 hotfix";"2005-10-25"
"8.0.876";"FIX: Key Names Read from an .Ini File for a Dynamic Properties Task May Be Truncated";"2005-10-25"
"8.0.878";"FIX: You receive error message 3456 when you try to apply a transaction log to a server";"2005-10-25"
"8.0.879";"FIX: The DBCC PSS Command may cause access violations and 17805 errors in SQL Server 2000";"2005-10-25"
"8.0.891";"FIX: An access violation exception may occur when SQL Server runs many parallel query processing operations on a multiprocessor computer";"2005-04-01"
"8.0.892";"FIX: You receive an error message when you try to restore a database backup that spans multiple devices";"2005-10-25"
"8.0.904";"FIX: The Snapshot Agent may fail after you make schema changes to the underlying tables of a publication";"2005-04-22"
"8.0.908";"FIX: You receive a 644 error message when you run an UPDATE statement and the isolation level is set to READ UNCOMMITTED";"2005-10-25"
"8.0.910";"FIX: SQL Server 2000 may not start if many users try to log in to SQL Server when SQL Server is trying to start";"2005-10-25"
"8.0.911";"FIX: When you use Transact-SQL cursor variables to perform operations that have large iterations, memory leaks may occur in SQL Server 2000";"2005-10-25"
"8.0.913";"FIX: You receive query results that were not expected when you use both ANSI joins and non-ANSI joins";"2006-06-07"
"8.0.915";"FIX: Rows are not successfully inserted into a table when you use the BULK INSERT command to insert rows";"2005-10-25"
"8.0.916";"FIX: Sqlakw32.dll May Corrupt SQL Statements";"2005-09-27"
"8.0.919";"FIX: When you use Transact-SQL cursor variables to perform operations that have large iterations, memory leaks may occur in SQL Server 2000";"2005-10-25"
"8.0.922";"FIX: You may receive an ""Invalid object name..."" error message when you run the DBCC CHECKCONSTRAINTS Transact-SQL statement on a table in SQL Server 2000";"2005-10-25"
"8.0.923";"FIX: The xp_logininfo procedure may fail with error 8198 after you install Q825042 or any hotfix with SQL Server 8.0.0840 or later";"2006-06-01"
"8.0.926";"FIX: An access violation exception may occur when you update a text column by using a stored procedure in SQL Server 2000";"2006-06-01"
"8.0.927";"FIX: Profiler RPC events truncate parameters that have a text data type to 16 characters";"2006-06-01"
"8.0.928";"FIX: The thread priority is raised for some threads in a parallel query";"2006-06-01"
"8.0.929";"FIX: 8621 error conditions may cause SQL Server 2000 64-bit to close unexpectedly";"2006-06-01"
"8.0.933";"FIX: The MSSQLServer service exits unexpectedly in SQL Server 2000 Service Pack 3";"2006-06-02"
"8.0.934";"FIX: You may receive a ""The query processor could not produce a query plan"" error message in SQL Server when you run a query that includes multiple subqueries that use self-joins";"2006-06-01"
"8.0.935";"FIX: You may notice incorrect values for the ""Active Transactions"" counter when you perform multiple transactions on an instance of SQL Server 2000 that is running on an SMP computer";"2006-06-01"
"8.0.936";"FIX: SQL Server 2000 may underestimate the cardinality of a query expression under certain circumstances";"2006-06-01"
"8.0.937";"FIX: Additional diagnostics have been added to SQL Server 2000 to detect unreported read operation failures";"2006-06-01"
"8.0.944";"FIX: SQL debugging does not work in Visual Studio .NET after you install Windows XP Service Pack 2";"2006-06-05"
"8.0.948";"FIX: You may receive an 8623 error message when you try to run a complex query on an instance of SQL Server";"2006-06-01"
"8.0.949";"FIX: Shared page locks can be held until end of the transaction and can cause blocking or performance problems in SQL Server 2000 Service Pack 3 (SP3)";"2006-06-02"
"8.0.952";"FIX: The Log Reader Agent may cause 17883 error messages";"2006-06-01"
"8.0.954";"FIX: The Osql.exe utility does not run a Transact-SQL script completely if you start the program from a remote session by using a background service and then log off the console session";"2007-01-05"
"8.0.955";"FIX: The @date_received parameter of the xp_readmail extended stored procedure incorrectly returns the date and the time that an e-mail message is submitted by the sender in SQL Server 2000";"2007-01-08"
"8.0.957";"FIX: An access violation exception may occur when you run a query that uses index names in the WITH INDEX option to specify an index hint";"2006-06-01"
"8.0.959";"FIX: An Audit Object Permission event is not produced when you run a TRUNCATE TABLE statement";"2006-06-01"
"8.0.961";"FIX: An access violation exception may occur when multiple users try to perform data modification operations at the same time that fire triggers that reference a deleted or an inserted table in SQL Server 2000 on a computer that is running SMP";"2006-06-01"
"8.0.962";"FIX: A user-defined function returns results that are not correct for a query";"2006-06-01"
"8.0.967";"FIX: You may receive an error message when you run a SET IDENTITY_INSERT ON statement on a table and then try to insert a row into the table in SQL Server 2000";"2006-06-01"
"8.0.970";"FIX: A CHECKDB statement reports a 2537 corruption error after SQL Server transfers data to a sql_variant column in SQL Server 2000";"2006-06-01"
"8.0.972";"FIX: An assertion error occurs when you insert data in the same row in a table by using multiple connections to an instance of SQL Server";"2006-06-01"
"8.0.973";"FIX: A SPID stops responding with a NETWORKIO (0x800) waittype in SQL Server Enterprise Manager when SQL Server tries to process a fragmented TDS network packet";"2006-06-01"
"8.0.977";"You receive a ""The product does not have a prerequisite update installed"" error message when you try to install a SQL Server 2000 post-Service Pack 3 hotfix";"2005-08-31"
"8.0.980";"FIX: A fetch on a dynamic cursor can cause unexpected results in SQL Server 2000 Service Pack 3";"2006-06-01"
"8.0.985";"FIX: Start times in the SQL Profiler are different for the Audit:Login and Audit:Logout Events in SQL Server 2000";"2006-06-01"
"8.0.988";"FIX: You receive a ""Msg 3628"" error message when you run an inner join query in SQL Server 2000";"2006-06-01"
"8.0.990";"FIX: SQL Server 2000 stops listening for new TCP/IP Socket connections unexpectedly after error message 17882 is written to the SQL Server 2000 error log";"2006-06-01"
"8.0.991";"FIX: Non-convergence may occur in a merge replication topology if the primary connection to the publisher is disconnected";"2006-06-01"
"8.0.993";"FIX: The @@ERROR system function may return an incorrect value when you execute a Transact-SQL statement that uses a parallel execution plan in SQL Server 2000 32-bit or in SQL Server 2000 64-bit";"2006-06-01"
"8.0.994";"FIX: Some complex queries are slower after you install SQL Server 2000 Service Pack 2 or SQL Server 2000 Service Pack 3";"2006-06-01"
"8.0.996";"FIX: SQL Server 2000 may stop responding to other requests when you perform a large deallocation operation";"2006-06-01"
"8.0.997";"FIX: You cannot create new TCP/IP socket based connections after error messages 17882 and 10055 are written to the Microsoft SQL Server 2000 error log";"2006-07-18"
"8.0.1000";"FIX: Database recovery does not occur, or a user database is marked as suspect in SQL Server 2000";"2006-06-01"
"8.0.1001";"FIX: You may receive a 17883 error message when SQL Server 2000 performs a very large hash operation";"2006-06-01"
"8.0.1003";"FIX: Differential database backups may not contain database changes in the Page Free Space (PFS) pages in SQL Server 2000";"2006-06-01"
"8.0.1007";"FIX: You may receive a ""SQL Server could not spawn process_loginread thread"" error message, and a memory leak may occur when you cancel a remote query in SQL Server 2000";"2006-06-01"
"8.0.1009";"FIX: You receive an ""Incorrect syntax near ')'"" error message when you run a script that was generated by SQL-DMO for an Operator object in SQL Server 2000";"2006-06-01"
"8.0.1013";"FIX: The query runs slower than you expected when you try to parse a query in SQL Server 2000";"2006-06-01"
"8.0.1014";"FIX: You may receive error message 701, error message 802, and error message 17803 when many hashed buffers are available in SQL Server 2000";"2006-06-01"
"8.0.1017";"FIX: The BULK INSERT statement silently skips insert attempts when the data value is NULL and the column is defined as NOT NULL for INT, SMALLINT, and BIGINT data types in SQL Server 2000";"2006-06-01"
"8.0.1019";"FIX: You may receive a memory-related error message when you repeatedly create and destroy an out-of-process COM object within the same batch or stored procedure in SQL Server 2000";"2006-06-01"
"8.0.1020";"FIX: The Subscriber may not be able to upload changes to the Publisher when you incrementally add an article to a publication in SQL Server 2000 SP3";"2006-07-25"
"8.0.1021";"FIX: Server Network Utility may display incorrect protocol properties in SQL Server 2000";"2006-07-25"
"8.0.1024";"FIX: Error message when you use SQL Server 2000: ""Time out occurred while waiting for buffer latch type 3""";"2006-07-25"
"8.0.1025";"FIX: You receive incorrect results when you run a query that uses a cross join operator in SQL Server 2000 SP3";"2006-06-01"
"8.0.1027";"FIX: A 17883 error may occur you run a query that uses a hash join in SQL Server 2000";"2006-07-25"
"8.0.1029";"FIX: Error message when you run an UPDATE statement that uses two JOIN hints to update a table in SQL Server 2000: ""Internal SQL Server error""";"2006-06-01"
"8.0.1034";"FIX: You may intermittently experience an access violation error when a query is executed in a parallel plan and the execution plan contains either a HASH JOIN operation or a Sort operation in SQL Server 2000";"2006-08-09"
"8.0.1035";"FIX: The ""Audit Logout"" event does not appear in the trace results file when you run a profiler trace against a linked server instance in SQL Server 2000";"2006-09-22"
"8.0.1036";"FIX: Error message when you run a full-text query in SQL Server 2000: ""Error: 17883, Severity: 1, State: 0""";"2007-01-11"
"8.0.1037";"FIX: CPU utilization may approach 100 percent on a computer that is running SQL Server 2000 after you run the BACKUP DATABASE statement or the BACKUP LOG statement";"2007-02-02"
"8.0.1077";"983814 MS12-070: Description of the security update for SQL Server 2000 Reporting Services Service Pack 2";"2012-10-09"
"8.0.1547";"FIX: You may experience slow server performance when you start a trace in an instance of SQL Server 2000 that runs on a computer that has more than four processors";"2006-06-01"
"8.0.2026";"SQL Server 2000 Service Pack 4 (SP4) Beta";""
"8.0.2039";"SQL Server 2000 Service Pack 4 (SP4)";"2005-05-06"
